VARIABLES="iterations", "scaled residual"
ZONE T=""
0 1
0 1
0.5 3.06835
1 1.14889
1.5 1.40319
2 1.12961
2.5 1.56794
3 1.30775
3.5 0.427825
4 0.206438
4.5 0.145477
5 0.117825
5.5 0.0920008
6 0.0796185
6.5 0.0566753
7 0.021639
7.5 0.00989272
8 0.0044287
8.5 0.00175594
9 0.000947717
9.5 0.000885428
10 0.000857113
10.5 0.00202707
11 0.00182165
11.5 0.00017294
12 0.000146935
12.5 9.38744e-05
13 3.60146e-05
13.5 4.18243e-05
14 3.63549e-05
14.5 5.65724e-06
15 5.05239e-06
15.5 1.19025e-06
16 1.02358e-06
16.5 6.73716e-07
17 2.90281e-07
17.5 5.2459e-08
18 2.93114e-08
18.5 2.59607e-08
19 1.22813e-08
19.5 5.20275e-10
20 4.54328e-10
20.5 2.60533e-11
21 1.99016e-11
21.5 4.36481e-12
22 2.34262e-12
22.5 3.17091e-13
