VARIABLES="iterations", "scaled residual"
ZONE T=""
0 1
0 1
0.5 2.76066
1 1.06406
1.5 0.821606
2 0.547271
2.5 1.4168
3 0.748242
3.5 0.374932
4 0.216146
4.5 0.289744
5 0.276846
5.5 0.0849558
6 0.043977
6.5 0.0256818
7 0.0251924
7.5 0.00343712
8 0.00343003
8.5 0.00293858
9 0.00130595
9.5 0.00689628
10 0.00311734
10.5 0.00182474
11 0.000841788
11.5 9.60269e-05
12 5.08382e-05
12.5 8.45777e-06
13 7.66759e-06
13.5 6.04114e-06
14 2.3738e-06
14.5 1.42931e-05
15 5.72555e-06
15.5 1.8162e-06
16 9.5086e-07
16.5 1.37008e-06
17 1.16381e-06
17.5 1.7964e-06
18 1.59705e-06
18.5 1.80806e-08
19 9.45394e-09
19.5 5.35054e-09
20 4.42106e-09
20.5 1.99859e-10
21 1.43887e-10
21.5 7.80961e-11
22 2.7442e-11
22.5 9.21892e-12
23 4.90014e-12
23.5 1.57799e-12
24 1.03182e-12
24.5 2.04636e-13
