ZONE I=100
0 0.999909
0.000252525 0.999909
0.000505051 0.999908
0.000757576 0.999908
0.0010101 0.999907
0.00126263 0.999907
0.00151515 0.999906
0.00176768 0.999906
0.0020202 0.999905
0.00227273 0.999905
0.00252525 0.999905
0.00277778 0.999904
0.0030303 0.999904
0.00328283 0.999903
0.00353535 0.999903
0.00378788 0.999902
0.0040404 0.999902
0.00429293 0.999901
0.00454545 0.999901
0.00479798 0.9999
0.00505051 0.9999
0.00530303 0.999899
0.00555556 0.999899
0.00580808 0.999898
0.00606061 0.999898
0.00631313 0.999897
0.00656566 0.999896
0.00681818 0.999896
0.00707071 0.999895
0.00732323 0.999895
0.00757576 0.999894
0.00782828 0.999894
0.00808081 0.999893
0.00833333 0.999893
0.00858586 0.999892
0.00883838 0.999892
0.00909091 0.999891
0.00934343 0.999891
0.00959596 0.99989
0.00984848 0.999889
0.010101 0.999889
0.0103535 0.999888
0.0106061 0.999888
0.0108586 0.999887
0.0111111 0.999887
0.0113636 0.999886
0.0116162 0.999885
0.0118687 0.999885
0.0121212 0.999884
0.0123737 0.999884
0.0126263 0.999883
0.0128788 0.999883
0.0131313 0.999882
0.0133838 0.999881
0.0136364 0.999881
0.0138889 0.99988
0.0141414 0.99988
0.0143939 0.999879
0.0146465 0.999878
0.014899 0.999878
0.0151515 0.999877
0.015404 0.999876
0.0156566 0.999876
0.0159091 0.999875
0.0161616 0.999875
0.0164141 0.999874
0.0166667 0.999873
0.0169192 0.999873
0.0171717 0.999872
0.0174242 0.999871
0.0176768 0.999871
0.0179293 0.99987
0.0181818 0.999869
0.0184343 0.999869
0.0186869 0.999868
0.0189394 0.999867
0.0191919 0.999867
0.0194444 0.999866
0.019697 0.999865
0.0199495 0.999865
0.020202 0.999864
0.0204545 0.999863
0.0207071 0.999863
0.0209596 0.999862
0.0212121 0.999861
0.0214646 0.999861
0.0217172 0.99986
0.0219697 0.999859
0.0222222 0.999858
0.0224747 0.999858
0.0227273 0.999857
0.0229798 0.999856
0.0232323 0.999856
0.0234848 0.999855
0.0237374 0.999854
0.0239899 0.999853
0.0242424 0.999853
0.0244949 0.999852
0.0247475 0.999851
0.025 0.99985
ZONE I=100
0.025 0.99985
0.0252525 0.99985
0.0255051 0.999849
0.0257576 0.999848
0.0260101 0.999847
0.0262626 0.999846
0.0265152 0.999846
0.0267677 0.999845
0.0270202 0.999844
0.0272727 0.999843
0.0275253 0.999843
0.0277778 0.999842
0.0280303 0.999841
0.0282828 0.99984
0.0285354 0.999839
0.0287879 0.999839
0.0290404 0.999838
0.0292929 0.999837
0.0295455 0.999836
0.029798 0.999835
0.0300505 0.999834
0.030303 0.999834
0.0305556 0.999833
0.0308081 0.999832
0.0310606 0.999831
0.0313131 0.99983
0.0315657 0.999829
0.0318182 0.999828
0.0320707 0.999828
0.0323232 0.999827
0.0325758 0.999826
0.0328283 0.999825
0.0330808 0.999824
0.0333333 0.999823
0.0335859 0.999822
0.0338384 0.999821
0.0340909 0.99982
0.0343434 0.99982
0.034596 0.999819
0.0348485 0.999818
0.035101 0.999817
0.0353535 0.999816
0.0356061 0.999815
0.0358586 0.999814
0.0361111 0.999813
0.0363636 0.999812
0.0366162 0.999811
0.0368687 0.99981
0.0371212 0.999809
0.0373737 0.999808
0.0376263 0.999807
0.0378788 0.999806
0.0381313 0.999805
0.0383838 0.999804
0.0386364 0.999803
0.0388889 0.999802
0.0391414 0.999801
0.0393939 0.9998
0.0396465 0.999799
0.039899 0.999798
0.0401515 0.999797
0.040404 0.999796
0.0406566 0.999795
0.0409091 0.999794
0.0411616 0.999793
0.0414141 0.999792
0.0416667 0.999791
0.0419192 0.99979
0.0421717 0.999789
0.0424242 0.999788
0.0426768 0.999787
0.0429293 0.999786
0.0431818 0.999785
0.0434343 0.999784
0.0436869 0.999782
0.0439394 0.999781
0.0441919 0.99978
0.0444444 0.999779
0.044697 0.999778
0.0449495 0.999777
0.045202 0.999776
0.0454545 0.999775
0.0457071 0.999774
0.0459596 0.999772
0.0462121 0.999771
0.0464646 0.99977
0.0467172 0.999769
0.0469697 0.999768
0.0472222 0.999767
0.0474747 0.999765
0.0477273 0.999764
0.0479798 0.999763
0.0482323 0.999762
0.0484848 0.999761
0.0487374 0.999759
0.0489899 0.999758
0.0492424 0.999757
0.0494949 0.999756
0.0497475 0.999754
0.05 0.999753
ZONE I=100
0.05 0.999753
0.0502525 0.999752
0.0505051 0.999751
0.0507576 0.999749
0.0510101 0.999748
0.0512626 0.999747
0.0515152 0.999746
0.0517677 0.999744
0.0520202 0.999743
0.0522727 0.999742
0.0525253 0.99974
0.0527778 0.999739
0.0530303 0.999738
0.0532828 0.999736
0.0535354 0.999735
0.0537879 0.999734
0.0540404 0.999732
0.0542929 0.999731
0.0545455 0.99973
0.054798 0.999728
0.0550505 0.999727
0.055303 0.999726
0.0555556 0.999724
0.0558081 0.999723
0.0560606 0.999721
0.0563131 0.99972
0.0565657 0.999719
0.0568182 0.999717
0.0570707 0.999716
0.0573232 0.999714
0.0575758 0.999713
0.0578283 0.999711
0.0580808 0.99971
0.0583333 0.999708
0.0585859 0.999707
0.0588384 0.999706
0.0590909 0.999704
0.0593434 0.999703
0.059596 0.999701
0.0598485 0.999699
0.060101 0.999698
0.0603535 0.999696
0.0606061 0.999695
0.0608586 0.999693
0.0611111 0.999692
0.0613636 0.99969
0.0616162 0.999689
0.0618687 0.999687
0.0621212 0.999686
0.0623737 0.999684
0.0626263 0.999682
0.0628788 0.999681
0.0631313 0.999679
0.0633838 0.999677
0.0636364 0.999676
0.0638889 0.999674
0.0641414 0.999673
0.0643939 0.999671
0.0646465 0.999669
0.064899 0.999668
0.0651515 0.999666
0.065404 0.999664
0.0656566 0.999662
0.0659091 0.999661
0.0661616 0.999659
0.0664141 0.999657
0.0666667 0.999656
0.0669192 0.999654
0.0671717 0.999652
0.0674242 0.99965
0.0676768 0.999649
0.0679293 0.999647
0.0681818 0.999645
0.0684343 0.999643
0.0686869 0.999641
0.0689394 0.99964
0.0691919 0.999638
0.0694444 0.999636
0.069697 0.999634
0.0699495 0.999632
0.070202 0.99963
0.0704545 0.999628
0.0707071 0.999627
0.0709596 0.999625
0.0712121 0.999623
0.0714646 0.999621
0.0717172 0.999619
0.0719697 0.999617
0.0722222 0.999615
0.0724747 0.999613
0.0727273 0.999611
0.0729798 0.999609
0.0732323 0.999607
0.0734848 0.999605
0.0737374 0.999603
0.0739899 0.999601
0.0742424 0.999599
0.0744949 0.999597
0.0747475 0.999595
0.075 0.999593
ZONE I=100
0.075 0.999593
0.0752525 0.999591
0.0755051 0.999589
0.0757576 0.999587
0.0760101 0.999585
0.0762626 0.999583
0.0765152 0.999581
0.0767677 0.999579
0.0770202 0.999576
0.0772727 0.999574
0.0775253 0.999572
0.0777778 0.99957
0.0780303 0.999568
0.0782828 0.999566
0.0785354 0.999563
0.0787879 0.999561
0.0790404 0.999559
0.0792929 0.999557
0.0795455 0.999554
0.079798 0.999552
0.0800505 0.99955
0.080303 0.999548
0.0805556 0.999545
0.0808081 0.999543
0.0810606 0.999541
0.0813131 0.999538
0.0815657 0.999536
0.0818182 0.999534
0.0820707 0.999531
0.0823232 0.999529
0.0825758 0.999527
0.0828283 0.999524
0.0830808 0.999522
0.0833333 0.999519
0.0835859 0.999517
0.0838384 0.999514
0.0840909 0.999512
0.0843434 0.99951
0.084596 0.999507
0.0848485 0.999505
0.085101 0.999502
0.0853535 0.9995
0.0856061 0.999497
0.0858586 0.999494
0.0861111 0.999492
0.0863636 0.999489
0.0866162 0.999487
0.0868687 0.999484
0.0871212 0.999482
0.0873737 0.999479
0.0876263 0.999476
0.0878788 0.999474
0.0881313 0.999471
0.0883838 0.999468
0.0886364 0.999466
0.0888889 0.999463
0.0891414 0.99946
0.0893939 0.999457
0.0896465 0.999455
0.089899 0.999452
0.0901515 0.999449
0.090404 0.999446
0.0906566 0.999444
0.0909091 0.999441
0.0911616 0.999438
0.0914141 0.999435
0.0916667 0.999432
0.0919192 0.999429
0.0921717 0.999426
0.0924242 0.999424
0.0926768 0.999421
0.0929293 0.999418
0.0931818 0.999415
0.0934343 0.999412
0.0936869 0.999409
0.0939394 0.999406
0.0941919 0.999403
0.0944444 0.9994
0.094697 0.999397
0.0949495 0.999394
0.095202 0.999391
0.0954545 0.999388
0.0957071 0.999384
0.0959596 0.999381
0.0962121 0.999378
0.0964646 0.999375
0.0967172 0.999372
0.0969697 0.999369
0.0972222 0.999366
0.0974747 0.999362
0.0977273 0.999359
0.0979798 0.999356
0.0982323 0.999353
0.0984848 0.999349
0.0987374 0.999346
0.0989899 0.999343
0.0992424 0.999339
0.0994949 0.999336
0.0997475 0.999333
0.1 0.999329
ZONE I=100
0.1 0.999329
0.100253 0.999326
0.100505 0.999322
0.100758 0.999319
0.10101 0.999316
0.101263 0.999312
0.101515 0.999309
0.101768 0.999305
0.10202 0.999302
0.102273 0.999298
0.102525 0.999295
0.102778 0.999291
0.10303 0.999287
0.103283 0.999284
0.103535 0.99928
0.103788 0.999277
0.10404 0.999273
0.104293 0.999269
0.104545 0.999265
0.104798 0.999262
0.105051 0.999258
0.105303 0.999254
0.105556 0.999251
0.105808 0.999247
0.106061 0.999243
0.106313 0.999239
