ZONE I=5, J=5
0 0 0.761594
0.1 0 0.664037
0.2 0 0.53705
0.3 0 0.379949
0.4 0 0.197375
0 0.0375 0.791338
0.1 0.0375 0.703906
0.2 0.0375 0.588259
0.3 0.0375 0.44223
0.4 0.0375 0.268271
0 0.075 0.817754
0.1 0.075 0.739783
0.2 0.075 0.635149
0.3 0.075 0.50052
0.4 0.075 0.336376
0 0.1125 0.841123
0.1 0.1125 0.771895
0.2 0.1125 0.677782
0.3 0.1125 0.5546
0.4 0.1125 0.401134
0 0.15 0.861723
0.1 0.15 0.800499
0.2 0.15 0.716298
0.3 0.15 0.604368
0.4 0.15 0.462117
ZONE I=5, J=5
0.4 0 0.197375
0.5 0 -2.22045e-16
0.6 0 -0.197375
0.7 0 -0.379949
0.8 0 -0.53705
0.4 0.0375 0.268271
0.5 0.0375 0.0748597
0.6 0.0375 -0.124353
0.7 0.0375 -0.314021
0.8 0.0375 -0.48155
0.4 0.075 0.336376
0.5 0.075 0.148885
0.6 0.075 -0.0499584
0.7 0.075 -0.244919
0.8 0.075 -0.421899
0.4 0.1125 0.401134
0.5 0.1125 0.221278
0.6 0.1125 0.0249948
0.7 0.1125 -0.173235
0.8 0.1125 -0.358357
0.4 0.15 0.462117
0.5 0.15 0.291313
0.6 0.15 0.099668
0.7 0.15 -0.099668
0.8 0.15 -0.291313
ZONE I=5, J=5
0.8 0 -0.53705
0.9 0 -0.664037
1 0 -0.761594
1.1 0 -0.833655
1.2 0 -0.885352
0.8 0.0375 -0.48155
0.9 0.0375 -0.619997
1 0.0375 -0.728254
1.1 0.0375 -0.809301
1.2 0.0375 -0.868022
0.8 0.075 -0.421899
0.9 0.075 -0.57167
1 0.075 -0.691069
1.1 0.075 -0.781806
1.2 0.075 -0.848284
0.8 0.1125 -0.358357
0.9 0.1125 -0.519022
1 0.1125 -0.649827
1.1 0.1125 -0.750893
1.2 0.1125 -0.825868
0.8 0.15 -0.291313
0.9 0.15 -0.462117
1 0.15 -0.604368
1.1 0.15 -0.716298
1.2 0.15 -0.800499
ZONE I=5, J=5
1.2 0 -0.885352
1.3 0 -0.921669
1.4 0 -0.946806
1.5 0 -0.964028
1.6 0 -0.975743
1.2 0.0375 -0.868022
1.3 0.0375 -0.909565
1.4 0.0375 -0.938462
1.5 0.0375 -0.958327
1.6 0.0375 -0.971873
1.2 0.075 -0.848284
1.3 0.075 -0.895693
1.4 0.075 -0.928858
1.5 0.075 -0.951746
1.6 0.075 -0.967395
1.2 0.1125 -0.825868
1.3 0.1125 -0.879827
1.4 0.1125 -0.917817
1.5 0.1125 -0.944155
1.6 0.1125 -0.962218
1.2 0.15 -0.800499
1.3 0.15 -0.861723
1.4 0.15 -0.905148
1.5 0.15 -0.935409
1.6 0.15 -0.956237
ZONE I=5, J=5
1.6 0 -0.975743
1.7 0 -0.983675
1.8 0 -0.989027
1.9 0 -0.992632
2 0 -0.995055
1.6 0.0375 -0.971873
1.7 0.0375 -0.981058
1.8 0.0375 -0.987263
1.9 0.0375 -0.991444
2 0.0375 -0.994257
1.6 0.075 -0.967395
1.7 0.075 -0.978026
1.8 0.075 -0.985217
1.9 0.075 -0.990066
2 0.075 -0.99333
1.6 0.1125 -0.962218
1.7 0.1125 -0.974515
1.8 0.1125 -0.982845
1.9 0.1125 -0.988468
2 0.1125 -0.992255
1.6 0.15 -0.956237
1.7 0.15 -0.970452
1.8 0.15 -0.980096
1.9 0.15 -0.986614
2 0.15 -0.991007
ZONE I=5, J=5
0 0.15 0.861723
0.1 0.15 0.800499
0.2 0.15 0.716298
0.3 0.15 0.604368
0.4 0.15 0.462117
0 0.1875 0.879827
0.1 0.1875 0.825868
0.2 0.1875 0.750893
0.3 0.1875 0.649827
0.4 0.1875 0.519022
0 0.225 0.895693
