ZONE I=5, J=5
0 0 0.761594
0.1 0 0.595231
0.2 0 0.379949
0.3 0 0.115747
0.4 0 -0.197375
0 0.0375 0.804478
0.1 0.0375 0.666148
0.2 0.0375 0.471876
0.3 0.0375 0.221663
0.4 0.0375 -0.0844909
0 0.075 0.841123
0.1 0.075 0.727788
0.2 0.075 0.554482
0.3 0.075 0.321207
0.4 0.075 0.0279607
0 0.1125 0.871528
0.1 0.1125 0.780152
0.2 0.1125 0.627768
0.3 0.1125 0.414377
0.4 0.1125 0.139979
0 0.15 0.895693
0.1 0.15 0.823239
0.2 0.15 0.691733
0.3 0.15 0.501175
0.4 0.15 0.251565
ZONE I=5, J=5
0.4 0 -0.197375
0.5 0 -0.461374
0.6 0 -0.664037
0.7 0 -0.805363
0.8 0 -0.885352
0.4 0.0375 -0.0844909
0.5 0.0375 -0.370719
0.6 0.0375 -0.595249
0.7 0.0375 -0.758082
0.8 0.0375 -0.859218
0.4 0.075 0.0279607
0.5 0.075 -0.274227
0.6 0.075 -0.517409
0.7 0.075 -0.701586
0.8 0.075 -0.826757
0.4 0.1125 0.139979
0.5 0.1125 -0.1719
0.6 0.1125 -0.430517
0.7 0.1125 -0.635874
0.8 0.1125 -0.787969
0.4 0.15 0.251565
0.5 0.15 -0.0637362
0.6 0.15 -0.334573
0.7 0.15 -0.560946
0.8 0.15 -0.742855
ZONE I=5, J=5
0.8 0 -0.885352
0.9 0 -0.931399
1 0 -0.964028
1.1 0 -0.983237
1.2 0 -0.989027
0.8 0.0375 -0.859218
0.9 0.0375 -0.915762
1 0.0375 -0.95577
1.1 0.0375 -0.979243
1.2 0.0375 -0.986179
0.8 0.075 -0.826757
0.9 0.075 -0.895832
1 0.075 -0.94481
1.1 0.075 -0.97369
1.2 0.075 -0.982473
0.8 0.1125 -0.787969
0.9 0.1125 -0.87161
1 0.1125 -0.931147
1.1 0.1125 -0.96658
1.2 0.1125 -0.977908
0.8 0.15 -0.742855
0.9 0.15 -0.843096
1 0.15 -0.914782
1.1 0.15 -0.957911
1.2 0.15 -0.972484
ZONE I=5, J=5
1.2 0 -0.989027
1.3 0 -0.993522
1.4 0 -0.996682
1.5 0 -0.998508
1.6 0 -0.999
1.2 0.0375 -0.986179
1.3 0.0375 -0.991857
1.4 0.0375 -0.995848
1.5 0.0375 -0.998153
1.6 0.0375 -0.998771
1.2 0.075 -0.982473
1.3 0.075 -0.989683
1.4 0.075 -0.994751
1.5 0.075 -0.997677
1.6 0.075 -0.998461
1.2 0.1125 -0.977908
1.3 0.1125 -0.987
