ZONE I=5, J=5
0 0 0.761594
0.125 0 0.215052
0.25 0 -0.244919
0.375 0 -0.618319
0.5 0 -0.905148
0 0.0416667 0.833505
0.125 0.0416667 0.392967
0.25 0.0416667 -0.0399536
0.375 0.0416667 -0.465258
0.5 0.0416667 -0.882946
0 0.0833333 0.888901
0.125 0.0833333 0.552209
0.25 0.0833333 0.153569
0.375 0.0833333 -0.307017
0.5 0.0833333 -0.829551
0 0.125 0.927784
0.125 0.125 0.692777
0.25 0.125 0.33565
0.375 0.125 -0.143597
0.5 0.125 -0.744965
0 0.166667 0.950151
0.125 0.166667 0.814672
0.25 0.166667 0.506289
0.375 0.166667 0.025003
0.5 0.166667 -0.629186
ZONE I=5, J=5
0.5 0 -0.905148
0.625 0 -0.958409
0.75 0 -0.99186
0.875 0 -1.0055
1 0 -0.999329
0.5 0.0416667 -0.882946
0.625 0.0416667 -0.948372
0.75 0.0416667 -0.989542
0.875 0.0416667 -1.00646
1 0.0416667 -0.999115
0.5 0.0833333 -0.829551
0.625 0.0833333 -0.92381
0.75 0.0833333 -0.983246
0.875 0.0833333 -1.00786
1 0.0833333 -0.997648
0.5 0.125 -0.744965
0.625 0.125 -0.884723
0.75 0.125 -0.97297
0.875 0.125 -1.00971
1 0.125 -0.994929
0.5 0.166667 -0.629186
0.625 0.166667 -0.831111
0.75 0.166667 -0.958715
0.875 0.166667 -1.012
1 0.166667 -0.990958
ZONE I=5, J=5
1 0 -0.999329
1.125 0 -0.999708
1.25 0 -0.999945
1.375 0 -1.00004
1.5 0 -0.999995
1 0.0416667 -0.999115
1.125 0.0416667 -0.999314
1.25 0.0416667 -0.999581
1.375 0.0416667 -0.999916
1.5 0.0416667 -1.00032
1 0.0833333 -0.997648
1.125 0.0833333 -0.998526
1.25 0.0833333 -0.999307
1.375 0.0833333 -0.999992
1.5 0.0833333 -1.00058
1 0.125 -0.994929
1.125 0.125 -0.997345
1.25 0.125 -0.999124
1.375 0.125 -1.00027
1.5 0.125 -1.00077
1 0.166667 -0.990958
1.125 0.166667 -0.995769
1.25 0.166667 -0.999031
1.375 0.166667 -1.00074
1.5 0.166667 -1.0009
ZONE I=5, J=5
1.5 0 -0.999995
1.625 0 -0.999998
1.75 0 -1
1.875 0 -1
2 0 -1
1.5 0.0416667 -1.00032
1.625 0.0416667 -1.00012
1.75 0.0416667 -0.999988
1.875 0.0416667 -0.999933
2 0.0416667 -0.999952
1.5 0.0833333 -1.00058
1.625 0.0833333 -1.00021
1.75 0.0833333 -0.999967
1.875 0.0833333 -0.999863
2 0.0833333 -0.999894
1.5 0.125 -1.00077
1.625 0.125 -1.00026
1.75 0.125 -0.999937
1.875 0.125 -0.999791
2 0.125 -0.999826
1.5 0.166667 -1.0009
1.625 0.166667 -1.00029
1.75 0.166667 -0.999898
1.875 0.166667 -0.999716
2 0.166667 -0.999748
ZONE I=5, J=5
0 0.166667 0.950151
0.125 0.166667 0.814672
0.25 0.166667 0.506289
0.375 0.166667 0.025003
0.5 0.166667 -0.629186
0 0.208333 0.966027
0.125 0.208333 0.898694
0.25 0.208333 0.638941
0.375 0.208333 0.186769
0.5 0.208333 -0.457822
0 0.25 0.978026
0.125 0.25 0.959794
0.25 0.25 0.746511
0.375 0.25 0.338177
0.5 0.25 -0.265209
0 0.291667 0.986147
0.125 0.291667 0.997972
0.25 0.291667 0.828998
0.375 0.291667 0.479226
0.5 0.291667 -0.0513458
0 0.333333 0.99039
0.125 0.333333 1.01323
0.25 0.333333 0.886404
0.375 0.333333 0.609916
0.5 0.333333 0.183766
ZONE I=5, J=5
